time,open,high,low,close,volume,spread,real_volume
2025-09-19 17:50:00,4499.35,4508.94,4494.33,4496.65,590,295.0,0
2025-09-19 17:55:00,4496.7,4500.06,4485.63,4493.9,835,295.0,0
2025-09-19 18:00:00,4494.07,4496.39,4481.23,4482.9,905,295.0,0
2025-09-19 18:05:00,4482.97,4483.5,4467.37,4475.18,1255,295.0,0
2025-09-19 18:10:00,4475.25,4476.28,4454.85,4461.36,1237,295.0,0
2025-09-19 18:15:00,4461.36,4464.02,4453.38,4459.64,1096,295.0,0
2025-09-19 18:20:00,4459.31,4465.6,4444.09,4463.17,1166,295.0,0
2025-09-19 18:25:00,4463.21,4469.18,4453.56,4467.56,1127,295.0,0
2025-09-19 18:30:00,4467.48,4467.48,4457.38,4463.25,801,295.0,0
2025-09-19 18:35:00,4463.21,4472.15,4459.7,4472.15,682,295.2,0
2025-09-19 18:40:00,4472.27,4478.8,4471.39,4474.62,639,295.0,0
2025-09-19 18:45:00,4474.6,4477.17,4465.36,4469.23,737,295.2,0
2025-09-19 18:50:00,4469.3,4475.98,4469.3,4475.98,521,295.0,0
2025-09-19 18:55:00,4476.0,4476.35,4470.65,4473.48,413,295.0,0
2025-09-19 19:00:00,4473.77,4480.58,4470.69,4477.36,647,295.0,0
2025-09-19 19:05:00,4477.35,4482.45,4476.56,4481.47,451,295.2,0
2025-09-19 19:10:00,4481.47,4482.64,4477.82,4481.55,330,295.4,0
2025-09-19 19:15:00,4481.52,4484.19,4480.41,4481.36,442,295.4,0
2025-09-19 19:20:00,4481.33,4483.6,4473.64,4482.27,372,295.4,0
2025-09-19 19:25:00,4482.52,4483.81,4478.74,4482.47,380,295.2,0
2025-09-19 19:30:00,4482.48,4485.08,4474.42,4481.12,414,295.6,0
2025-09-19 19:35:00,4481.14,4484.82,4476.13,4477.3,422,295.6,0
2025-09-19 19:40:00,4477.41,4483.91,4477.41,4482.42,374,295.4,0
2025-09-19 19:45:00,4482.43,4488.46,4481.75,4486.23,361,295.4,0
2025-09-19 19:50:00,4486.23,4486.39,4479.81,4480.42,485,295.2,0
2025-09-19 19:55:00,4480.38,4482.09,4479.23,4480.39,380,295.2,0
2025-09-19 20:00:00,4480.4,4480.4,4471.26,4471.4,411,295.4,0
2025-09-19 20:05:00,4471.41,4471.96,4466.89,4467.09,295,295.6,0
2025-09-19 20:10:00,4467.06,4468.49,4463.11,4464.63,311,295.2,0
2025-09-19 20:15:00,4464.49,4467.51,4460.58,4466.95,433,295.4,0
2025-09-19 20:20:00,4466.93,4474.42,4463.97,4470.72,404,295.4,0
2025-09-19 20:25:00,4471.0,4473.6,4468.51,4471.24,370,295.4,0
2025-09-19 20:30:00,4471.23,4471.23,4461.84,4462.19,578,295.2,0
2025-09-19 20:35:00,4462.32,4466.54,4456.62,4459.5,637,295.2,0
2025-09-19 20:40:00,4459.44,4466.59,4458.98,4464.24,546,295.6,0
2025-09-19 20:45:00,4464.5,4465.78,4460.78,4464.4,387,295.2,0
2025-09-19 20:50:00,4464.41,4464.41,4456.93,4459.65,481,295.6,0
2025-09-19 20:55:00,4459.64,4460.0,4457.18,4458.49,496,295.0,0
2025-09-19 21:00:00,4458.48,4461.45,4454.76,4456.21,575,295.2,0
2025-09-19 21:05:00,4456.21,4456.9,4452.47,4455.21,503,295.0,0
2025-09-19 21:10:00,4455.21,4455.43,4434.37,4447.78,764,295.4,0
2025-09-19 21:15:00,4447.79,4451.18,4441.04,4447.55,583,295.4,0
2025-09-19 21:20:00,4447.58,4452.94,4445.98,4451.74,564,295.2,0
2025-09-19 21:25:00,4451.73,4453.92,4448.98,4449.89,441,295.0,0
2025-09-19 21:30:00,4449.89,4456.22,4449.79,4454.33,553,295.2,0
2025-09-19 21:35:00,4454.32,4456.65,4451.76,4453.06,476,295.0,0
2025-09-19 21:40:00,4453.19,4461.19,4453.19,4456.55,362,295.4,0
2025-09-19 21:45:00,4456.53,4460.37,4446.81,4447.16,471,295.2,0
2025-09-19 21:50:00,4447.32,4447.85,4444.11,4445.86,346,295.2,0
2025-09-19 21:55:00,4445.89,4448.4,4442.52,4447.53,331,295.0,0
2025-09-19 22:00:00,4447.43,4456.27,4446.94,4453.54,392,295.4,0
2025-09-19 22:05:00,4453.52,4457.76,4453.03,4457.04,293,295.6,0
2025-09-19 22:10:00,4457.02,4460.51,4455.91,4458.28,236,295.4,0
2025-09-19 22:15:00,4458.13,4460.07,4455.86,4457.51,248,295.8,0
2025-09-19 22:20:00,4457.52,4458.22,4454.52,4457.39,256,295.2,0
2025-09-19 22:25:00,4457.24,4464.96,4456.48,4463.32,271,295.8,0
2025-09-19 22:30:00,4463.37,4463.52,4456.85,4458.46,275,295.8,0
2025-09-19 22:35:00,4458.44,4464.78,4458.44,4462.63,278,295.6,0
